"Agravo","Ano","Perc_classificacao_ignorada","Perc_raca_ignorada"
"Chikungunya",2020,0.89,35.57
"Chikungunya",2021,1.19,88.69
"Chikungunya",2022,0.75,74.63
"Chikungunya",2023,3.51,65.81
"Chikungunya",2024,2.67,42.12
"Chikungunya",2025,1.72,9.91
"Dengue",2020,0,71.43
"Dengue",2021,0,85.37
"Dengue",2022,0,16.52
"Dengue",2023,0.11,10.87
"Dengue",2024,0.01,50.37
"Dengue",2025,0.33,9.33
"Zika",2020,0,0
"Zika",2021,0,90.91
"Zika",2022,1.59,88.89
"Zika",2023,0,77.85
"Zika",2024,0,33.64
"Zika",2025,0,19.44
